id,Calories
750000,27.470366
750001,108.11511
750002,86.894966
750003,125.12599
750004,76.41969
750005,21.296318
750006,48.719833
750007,7.1301527
750008,10.123965
750009,204.18993
750010,76.53984
750011,213.17456
750012,70.71092
750013,250.36554
750014,87.79094
750015,137.64021
750016,67.88345
750017,158.83226
750018,124.039185
750019,189.12341
750020,85.48328
750021,63.143917
750022,77.41076
750023,5.639268
750024,34.46872
750025,151.16165
750026,75.75335
750027,154.44963
750028,83.53161
750029,17.084393
750030,86.21225
750031,21.426014
750032,33.43445
750033,11.399839
750034,96.23844
750035,104.89983
750036,49.42756
750037,43.310097
750038,154.05023
750039,132.06396
750040,103.55536
750041,38.354538
750042,84.06569
750043,90.17827
750044,187.74792
750045,101.80882
750046,214.33304
750047,16.253544
750048,29.163904
750049,141.15968
750050,204.58113
750051,159.84515
750052,24.08685
750053,43.986614
750054,68.246796
750055,80.504
750056,118.19264
750057,220.32678
750058,134.48412
750059,174.2756
750060,112.02976
750061,122.28224
750062,116.40509
750063,28.305456
750064,123.44121
750065,10.460375
750066,32.709103
750067,160.2279
750068,7.0622153
750069,162.88272
750070,97.193474
750071,187.98422
750072,141.40051
750073,30.754078
750074,147.4473
750075,144.3072
750076,81.90311
750077,7.588141
750078,133.21976
750079,155.02805
750080,67.73096
750081,163.77281
750082,14.975285
750083,85.71422
750084,144.72867
750085,45.564598
750086,7.983776
750087,44.622757
750088,25.482784
750089,91.65021
750090,21.654774
750091,133.16441
750092,54.20992
750093,70.04902
750094,10.460205
750095,15.254467
750096,25.027866
750097,33.536766
750098,200.5723
750099,33.033234
750100,22.005836
750101,134.06792
750102,80.49883
750103,62.001144
750104,54.099747
750105,6.4864006
750106,30.556889
750107,141.21497
750108,2.232433
750109,42.35392
750110,82.82747
750111,34.304947
750112,35.458885
750113,78.02226
750114,164.8114
750115,69.708015
750116,58.959984
750117,128.66685
750118,132.09598
750119,8.826691
750120,137.42694
750121,120.202866
750122,248.49228
750123,68.91324
750124,14.350052
750125,149.32082
750126,104.197235
750127,109.14815
750128,112.65042
750129,34.955906
750130,121.77763
750131,192.21228
750132,161.6097
750133,114.550125
750134,70.071625
750135,103.485825
750136,16.483109
750137,120.67724
750138,52.274742
750139,71.84884
750140,18.759815
750141,15.989163
750142,67.64627
750143,8.594402
750144,79.4453
750145,33.242706
750146,6.816584
750147,4.6282744
750148,68.45804
750149,77.26401
750150,5.7631664
750151,69.77286
750152,9.515118
750153,56.941284
750154,159.21988
750155,27.9394
750156,146.20087
750157,72.60273
750158,46.750473
750159,23.18587
750160,22.362629
750161,27.889698
750162,112.80861
750163,72.63316
750164,75.311676
750165,114.586945
750166,38.766415
750167,236.56773
750168,28.81083
750169,54.080467
750170,40.790623
750171,131.15768
750172,131.4409
750173,33.592606
750174,48.45722
750175,122.513756
750176,151.87558
750177,56.942238
750178,57.18376
750179,188.99017
750180,30.816006
750181,44.58982
750182,68.65659
750183,121.157524
750184,67.67068
750185,82.49063
750186,158.83098
750187,16.75829
750188,23.095516
750189,140.37726
750190,55.321304
750191,72.179214
750192,110.22826
750193,57.036697
750194,117.27672
750195,148.10008
750196,80.36052
750197,55.06343
750198,143.51866
750199,25.358742
750200,80.810425
750201,246.06474
750202,32.101856
750203,259.9893
750204,20.26563
750205,209.8212
750206,93.79755
750207,58.16323
750208,14.055944
750209,78.933685
750210,200.6871
750211,66.23104
750212,22.490343
750213,16.950523
750214,92.40762
750215,29.118305
750216,40.861916
750217,22.57115
750218,141.323
750219,28.427532
750220,40.585823
750221,70.396706
750222,84.81018
750223,7.047885
750224,72.66359
750225,118.74223
750226,16.183023
750227,82.580505
750228,26.87276
750229,193.21283
750230,6.811075
750231,6.796226
750232,137.24048
750233,70.7171
750234,14.622812
750235,153.53722
750236,17.060379
750237,84.432884
750238,59.817673
750239,114.390396
750240,7.404554
750241,31.187782
750242,25.255463
750243,19.959385
750244,157.70903
750245,97.28105
750246,87.12445
750247,43.965446
750248,49.587364
750249,89.190414
750250,43.610996
750251,104.28398
750252,163.69757
750253,10.419635
750254,19.646255
750255,14.9316
750256,118.56793
750257,134.46053
750258,31.687141
750259,204.96289
750260,145.17937
750261,36.60643
750262,17.552183
750263,37.756493
750264,189.1268
750265,47.13812
750266,27.133448
750267,9.165247
750268,83.35785
750269,10.693191
750270,126.651024
750271,56.432556
750272,22.030594
750273,197.46631
750274,156.10257
750275,237.42119
750276,22.63548
750277,178.2818
750278,64.12276
750279,92.474846
750280,84.87602
750281,33.89189
750282,93.38798
750283,99.585205
750284,54.389454
750285,55.403183
750286,89.54616
750287,100.72771
750288,10.457094
750289,150.75473
750290,34.570606
750291,90.41707
750292,68.7065
750293,47.914436
750294,175.24625
750295,64.28525
750296,246.7908
750297,105.71561
750298,73.68383
750299,84.404076
750300,123.00311
750301,126.26911
750302,136.58371
750303,24.887627
750304,127.8851
750305,125.79872
750306,42.3723
750307,96.648224
750308,232.25465
750309,49.425995
750310,152.47192
750311,13.662242
750312,127.907776
750313,111.095665
750314,147.04712
750315,195.8923
750316,35.865246
750317,21.334
750318,156.7161
750319,107.910095
750320,43.148373
750321,37.27462
750322,93.63573
750323,146.39929
750324,2.6592429
750325,45.541985
750326,65.18622
750327,53.70729
750328,86.770676
750329,34.62936
750330,110.84501
750331,100.2412
750332,159.6464
750333,96.92476
750334,16.482069
750335,182.42487
750336,5.974436
750337,163.65213
750338,156.26685
750339,127.66197
750340,104.6568
750341,132.55177
750342,73.095535
750343,202.88815
750344,12.600683
750345,7.7887707
750346,55.673683
750347,90.74522
750348,86.31215
750349,87.22705
750350,8.841713
750351,55.717934
750352,70.45964
750353,92.73857
750354,29.552723
750355,47.115627
750356,44.721077
750357,14.947386
750358,70.18552
750359,228.33368
750360,137.79211
750361,49.92713
750362,140.02869
750363,40.002205
750364,52.42116
750365,197.75644
750366,92.958496
750367,86.94112
750368,124.42487
750369,62.908634
750370,164.52652
750371,84.00865
750372,88.17111
750373,116.15555
750374,110.66611
750375,180.90341
750376,29.51513
750377,78.58473
750378,9.632372
750379,190.16203
750380,123.918945
750381,198.35556
750382,99.80405
750383,6.7067056
750384,75.33532
750385,107.06189
750386,53.576126
750387,148.94455
750388,177.67694
750389,172.69395
750390,7.806654
750391,115.32596
750392,235.51996
750393,115.85579
750394,160.20502
750395,84.52476
750396,60.95962
750397,43.529507
750398,62.14569
750399,133.33322
750400,28.385353
750401,8.092691
750402,174.53268
750403,76.727585
750404,82.281876
750405,7.8236637
750406,150.09747
750407,43.712585
750408,10.068827
750409,137.74426
750410,108.64378
750411,209.72429
750412,9.204225
750413,107.820015
750414,178.327
750415,167.18231
750416,182.63437
750417,83.7039
750418,22.4527
750419,57.68239
750420,12.25444
750421,74.23004
750422,112.910675
750423,20.563818
750424,40.903786
750425,55.613575
750426,99.580315
750427,141.72617
750428,54.127754
750429,1.4558715
750430,68.70211
750431,10.76351
750432,143.51083
750433,55.975353
750434,62.37757
750435,97.198524
750436,98.069984
750437,15.232679
750438,36.946434
750439,62.58661
750440,86.05412
750441,144.59311
750442,148.90262
750443,70.04817
750444,41.65215
750445,3.875275
750446,152.39726
750447,150.37007
750448,24.978498
750449,231.10538
750450,107.41026
750451,166.42932
750452,97.75528
750453,141.32794
750454,65.325424
750455,91.14014
750456,157.50035
750457,14.749504
750458,194.11337
750459,12.582015
750460,41.320553
750461,124.19486
750462,128.0503
750463,147.78065
750464,21.214554
750465,53.638184
750466,158.20187
750467,90.643265
750468,195.4632
750469,140.04996
750470,150.12686
750471,118.3957
750472,35.45966
750473,107.69949
750474,55.547234
750475,79.86749
750476,152.14188
750477,11.544871
750478,89.98764
750479,14.557989
750480,118.00008
750481,14.228418
750482,141.30124
750483,38.514748
750484,86.8275
750485,8.626614
750486,102.91256
750487,77.30092
750488,101.43724
750489,110.140656
750490,52.084023
750491,44.831734
750492,55.579086
750493,29.859251
750494,121.6936
750495,47.79831
750496,18.903728
750497,30.215992
750498,23.796978
750499,105.10835
750500,49.7844
750501,44.431267
750502,86.848656
750503,12.36661
750504,71.13965
750505,203.6023
750506,194.91997
750507,92.17306
750508,184.05273
750509,3.2806284
750510,59.83629
750511,38.03315
750512,119.793076
750513,202.07713
750514,82.55554
750515,188.89351
750516,55.16835
750517,163.43689
750518,101.644066
750519,199.98087
750520,104.37111
750521,60.803696
750522,101.400276
750523,160.1673
750524,78.84801
750525,150.48691
750526,113.81219
750527,132.82196
750528,140.51721
750529,211.38748
750530,178.9086
750531,6.3948727
750532,41.816208
750533,168.79245
750534,122.76714
750535,54.045673
750536,30.71092
750537,106.98414
750538,5.66071
750539,59.550964
750540,61.271072
750541,9.571257
750542,29.088268
750543,147.12558
750544,188.10416
750545,53.950687
750546,154.65416
750547,39.626083
750548,197.33255
750549,195.31427
750550,69.34381
750551,232.14561
750552,50.270737
750553,208.4441
750554,3.6907957
750555,26.025082
750556,78.991165
750557,56.16242
750558,96.77695
750559,59.712593
750560,39.575893
750561,57.768646
750562,44.259968
750563,25.322807
750564,38.11639
750565,156.6243
750566,32.11864
750567,10.259112
750568,100.96592
750569,108.81683
750570,120.16797
750571,2.1177895
750572,95.669495
750573,46.021904
750574,16.894966
750575,100.952034
750576,21.248577
750577,7.2202587
750578,85.59056
750579,83.12305
750580,33.321625
750581,146.71405
750582,102.32344
750583,100.94827
750584,79.31105
750585,27.26347
750586,99.70039
750587,9.148966
750588,188.09033
750589,19.036331
750590,112.740776
750591,24.665764
750592,69.84071
750593,124.74026
750594,17.608646
750595,244.55536
750596,67.09415
750597,138.50928
750598,190.01044
750599,64.75902
750600,204.02525
750601,110.409836
750602,126.00569
750603,98.945465
750604,20.286947
750605,52.367065
750606,35.562317
750607,32.702576
750608,139.51555
750609,202.63
750610,267.24374
750611,79.169716
750612,56.51008
750613,169.53302
750614,49.2306
750615,157.30164
750616,15.210211
750617,49.18278
750618,252.82698
750619,23.917934
750620,86.23309
750621,188.74403
750622,29.628202
750623,15.896757
750624,66.02635
750625,200.66168
750626,121.46962
750627,7.511323
750628,153.00485
750629,23.640076
750630,53.612194
750631,79.123535
750632,25.863464
750633,99.49244
750634,199.34848
750635,135.20206
750636,0.11714275
750637,117.51995
750638,19.12321
750639,101.27234
750640,128.60188
750641,68.97768
750642,30.375782
750643,111.370804
