id,loan_status
58645,0.97449434
58646,0.014666652
58647,0.27569887
58648,0.03694551
58649,0.23871437
58650,0.90905917
58651,0.006561871
58652,0.008156083
58653,0.18812689
58654,0.0316129
58655,0.04487794
58656,0.16788727
58657,0.043677874
58658,0.012477378
58659,0.038718525
58660,0.059036188
58661,0.011349562
58662,0.004542395
58663,0.04818283
58664,0.01457953
58665,0.034323655
58666,0.011168922
58667,0.005723852
58668,0.01250987
58669,0.009204555
58670,0.004069034
58671,0.06869636
58672,0.009483012
58673,0.83026785
58674,0.009182871
58675,0.012826393
58676,0.19618922
58677,0.028526055
58678,0.0062495484
58679,0.14431559
58680,0.95000416
58681,0.05365408
58682,0.005154752
58683,0.039317146
58684,0.08461387
58685,0.13528629
58686,0.06809301
58687,0.71136254
58688,0.0044171936
58689,0.18024632
58690,0.005854577
58691,0.036496542
58692,0.03947414
58693,0.0061552264
58694,0.016294245
58695,0.86129767
58696,0.03394791
58697,0.044790544
58698,0.026490284
58699,0.026575338
58700,0.0046693357
58701,0.011191357
58702,0.015695212
58703,0.10160079
58704,0.16315454
58705,0.16243453
58706,0.06738856
58707,0.013139957
58708,0.014866723
58709,0.91629016
58710,0.017313411
58711,0.9487977
58712,0.018412394
58713,0.0077567915
58714,0.020746188
58715,0.009167436
58716,0.028345007
58717,0.010133295
58718,0.17148003
58719,0.003676002
58720,0.004831645
58721,0.09623029
58722,0.13729817
58723,0.041450325
58724,0.010761816
58725,0.037256084
58726,0.025001828
58727,0.15073204
58728,0.106362306
58729,0.005858216
58730,0.042016808
58731,0.02407492
58732,0.01752061
58733,0.0023193837
58734,0.0065441392
58735,0.018197956
58736,0.097231515
58737,0.0437938
58738,0.95216435
58739,0.07486728
58740,0.91431534
58741,0.0236618
58742,0.00771077
58743,0.049360298
58744,0.017491061
58745,0.014734489
58746,0.04178314
58747,0.008561358
58748,0.020330653
58749,0.024087645
58750,0.024124485
58751,0.058397733
58752,0.91360426
58753,0.009012912
58754,0.028294744
58755,0.06078471
58756,0.020186046
58757,0.019273518
58758,0.009241501
58759,0.0026738262
58760,0.010549105
58761,0.007218401
58762,0.010206699
58763,0.9712867
58764,0.0063203787
58765,0.056453608
58766,0.01661843
58767,0.04051835
58768,0.9579813
58769,0.021259274
58770,0.06132172
58771,0.12131824
58772,0.03402291
58773,0.020738045
58774,0.014996742
58775,0.92673266
58776,0.34187323
58777,0.017124873
58778,0.011817051
58779,0.053873725
58780,0.007104412
58781,0.08313448
58782,0.012045759
58783,0.089531146
58784,0.020194205
58785,0.004365276
58786,0.021080121
58787,0.101962455
58788,0.07544928
58789,0.046487518
58790,0.04732465
58791,0.07248091
58792,0.0045648096
58793,0.060494356
58794,0.00969396
58795,0.038918804
58796,0.02698878
58797,0.028173322
58798,0.097392134
58799,0.35143143
58800,0.03301551
58801,0.0068275593
58802,0.8672324
58803,0.08139375
58804,0.29024795
58805,0.79881084
58806,0.09829282
58807,0.006311108
58808,0.009715806
58809,0.9676106
58810,0.9748316
58811,0.030094385
58812,0.06928337
58813,0.013838325
58814,0.032543357
58815,0.014491241
58816,0.029308964
58817,0.00359405
58818,0.06899432
58819,0.038485143
58820,0.011900004
58821,0.028385358
58822,0.0129732
58823,0.10518192
58824,0.03927619
58825,0.009854155
58826,0.08345744
58827,0.09372289
58828,0.019999227
58829,0.061971918
58830,0.014071055
58831,0.056000967
58832,0.0095892195
58833,0.0071929945
58834,0.021103978
58835,0.97033495
58836,0.042768847
58837,0.2217376
58838,0.009323383
58839,0.005853126
58840,0.016491687
58841,0.9525153
58842,0.005563917
58843,0.018737415
58844,0.0469151
58845,0.017970156
58846,0.0023367887
58847,0.9693806
58848,0.12132298
58849,0.21765059
58850,0.04589966
58851,0.055777952
58852,0.15815242
58853,0.030017305
58854,0.98324794
58855,0.116289765
58856,0.0067248773
58857,0.09885249
58858,0.13319883
58859,0.017784229
58860,0.0061388453
58861,0.065328434
58862,0.18746324
58863,0.1593867
58864,0.018950809
58865,0.23477346
58866,0.014873665
58867,0.0029163572
58868,0.0149997575
58869,0.016240014
58870,0.3255707
58871,0.0049859043
58872,0.030519713
58873,0.016749462
58874,0.97366965
58875,0.013394683
58876,0.006981234
58877,0.013562602
58878,0.036458742
58879,0.04138274
58880,0.014787956
58881,0.019281717
58882,0.008192721
58883,0.22884955
58884,0.23438574
58885,0.065395884
58886,0.0042620134
58887,0.9455215
58888,0.05904676
58889,0.9698989
58890,0.10875661
58891,0.07490159
58892,0.0313527
58893,0.00885861
58894,0.022025162
58895,0.0061419797
58896,0.010621032
58897,0.04050655
58898,0.23379475
58899,0.9329962
58900,0.044696264
58901,0.077877775
58902,0.08355865
58903,0.006939703
58904,0.091846
58905,0.0065827086
58906,0.118399404
58907,0.02220477
58908,0.0038291283
58909,0.08002993
58910,0.0057426593
58911,0.020895872
58912,0.008478695
58913,0.07224143
58914,0.01121976
58915,0.0356161
58916,0.019132841
58917,0.07558013
58918,0.00831318
58919,0.026961029
58920,0.1423832
58921,0.011871297
58922,0.063685715
58923,0.0043961355
58924,0.037978943
58925,0.038227867
58926,0.3384264
58927,0.06653022
58928,0.060427733
58929,0.007534861
58930,0.018929392
58931,0.9618923
58932,0.8653706
58933,0.046348866
58934,0.068793826
58935,0.018649083
58936,0.028700445
58937,0.016885338
58938,0.020382365
58939,0.023101356
58940,0.011658712
58941,0.9648909
58942,0.94642943
58943,0.0053882943
58944,0.042878717
58945,0.057417862
58946,0.07928027
58947,0.00820258
58948,0.034514602
58949,0.008367465
58950,0.14700189
58951,0.07476242
58952,0.011164825
58953,0.010092721
58954,0.8905025
58955,0.06100976
58956,0.0038928525
58957,0.9727158
58958,0.9765138
58959,0.011349498
58960,0.020524535
58961,0.006543073
58962,0.14550312
58963,0.12543602
58964,0.02873351
58965,0.032274477
58966,0.026371166
58967,0.008762705
58968,0.0082598
58969,0.21639137
58970,0.016130632
58971,0.07205372
58972,0.08008586
58973,0.93235224
58974,0.04041232
58975,0.05111418
58976,0.06685405
58977,0.026411869
58978,0.01956015
58979,0.05226491
58980,0.015911013
58981,0.007399077
58982,0.007527348
58983,0.0049803057
58984,0.015974017
58985,0.09172579
58986,0.97463214
58987,0.005154664
58988,0.05385826
58989,0.07473624
58990,0.0080678845
58991,0.012240906
58992,0.015600643
58993,0.010856173
58994,0.013389517
58995,0.9959175
58996,0.113114804
58997,0.9383831
58998,0.00452252
58999,0.022914384
59000,0.060413133
59001,0.05721133
59002,0.026223987
59003,0.14019425
59004,0.072460674
59005,0.0054191584
59006,0.012972798
59007,0.017507294
59008,0.98011875
59009,0.019112855
59010,0.008525564
59011,0.010842802
59012,0.0074602165
59013,0.014936803
59014,0.016207037
59015,0.12702508
59016,0.017091623
59017,0.02575706
59018,0.07104188
59019,0.0063420553
59020,0.02473038
59021,0.023911987
59022,0.09867987
59023,0.96855575
59024,0.023627995
59025,0.98211175
59026,0.013600676
59027,0.01219203
59028,0.048071336
59029,0.012138665
59030,0.01089545
59031,0.9441323
59032,0.12035762
59033,0.13738362
59034,0.08962514
59035,0.007900617
59036,0.065564945
59037,0.06539603
59038,0.013872732
59039,0.009766383
59040,0.021700481
59041,0.022908442
59042,0.17660584
59043,0.9731618
59044,0.009696394
59045,0.020892398
59046,0.12840913
59047,0.0542735
59048,0.007293547
59049,0.05407036
59050,0.008017347
59051,0.06458515
59052,0.006221113
59053,0.0077243466
59054,0.027433619
59055,0.08753741
59056,0.0063076126
59057,0.80602837
59058,0.003490146
59059,0.035591535
59060,0.009660394
59061,0.01457779
59062,0.027811231
59063,0.0055537056
59064,0.024394583
59065,0.0030405787
59066,0.02993198
59067,0.0043663853
59068,0.031031346
59069,0.014121246
59070,0.01112834
59071,0.046079416
59072,0.021486467
59073,0.95400447
59074,0.045731924
59075,0.20665346
59076,0.01012197
59077,0.9824347
59078,0.6139969
59079,0.030174304
59080,0.0082961675
59081,0.006158362
59082,0.0468691
59083,0.006708834
59084,0.0074498323
59085,0.081606634
59086,0.06519522
59087,0.048572186
59088,0.038744856
59089,0.037171684
59090,0.08709798
59091,0.0038670632
59092,0.529286
59093,0.0294569
59094,0.018885398
59095,0.0046506445
59096,0.97100115
59097,0.112987384
59098,0.05964173
59099,0.009075504
59100,0.012725536
59101,0.014042201
59102,0.015054629
59103,0.09052551
59104,0.005680838
59105,0.050955884
59106,0.0077857873
59107,0.1916454
59108,0.092553645
59109,0.098340936
59110,0.009836555
59111,0.011667947
59112,0.034197938
59113,0.95874214
59114,0.1355147
59115,0.11209966
59116,0.0051681064
59117,0.0072953156
59118,0.043406904
59119,0.03234145
59120,0.006356128
59121,0.006883233
59122,0.07207382
59123,0.93826586
59124,0.79141176
59125,0.05126666
59126,0.94139266
59127,0.032468576
59128,0.064908154
59129,0.020367641
59130,0.025944676
59131,0.02741575
59132,0.12197774
59133,0.12651914
59134,0.037367344
59135,0.0027100232
59136,0.005959247
59137,0.035060167
59138,0.016703168
59139,0.0042022774
59140,0.041096877
59141,0.9332296
59142,0.12596707
59143,0.032481246
59144,0.014433349
59145,0.0545069
59146,0.033447333
59147,0.032187253
59148,0.042804766
59149,0.022467025
59150,0.013002211
59151,0.012323088
59152,0.12416366
59153,0.011022103
59154,0.13595831
59155,0.017468581
59156,0.14232612
59157,0.005427059
59158,0.07927533
59159,0.016062122
59160,0.044416126
59161,0.023158016
59162,0.02421729
59163,0.03368208
59164,0.015988572
59165,0.06613706
59166,0.013564382
59167,0.043029122
59168,0.17528822
59169,0.96605074
59170,0.022422869
59171,0.018519877
59172,0.03785974
59173,0.022710865
59174,0.011455819
59175,0.026275087
59176,0.06536676
59177,0.0051885755
59178,0.006997238
59179,0.0059115086
59180,0.10708193
59181,0.13830844
59182,0.970741
59183,0.02349059
59184,0.14198296
59185,0.08264784
59186,0.031524718
59187,0.00958065
59188,0.06075749
59189,0.016054783
59190,0.017121214
59191,0.010764334
59192,0.05703513
59193,0.01217684
59194,0.14882518
59195,0.023205787
59196,0.040381677
59197,0.06487208
59198,0.06317557
59199,0.003814516
59200,0.98479164
59201,0.015659092
59202,0.006751579
59203,0.08318221
59204,0.02224761
59205,0.00885524
59206,0.016676843
59207,0.011458918
59208,0.011174495
59209,0.028548192
59210,0.06074377
59211,0.073327035
59212,0.0899708
59213,0.20151968
59214,0.016588503
59215,0.0076371203
59216,0.04424938
59217,0.0067238715
59218,0.010782598
59219,0.008319086
59220,0.09513273
59221,0.8258984
59222,0.017025802
59223,0.013652821
59224,0.10510518
59225,0.0055956934
59226,0.017051063
59227,0.13065797
59228,0.034054767
59229,0.009341061
59230,0.011657195
59231,0.010746856
59232,0.16075614
59233,0.031361174
59234,0.095070675
59235,0.009685412
59236,0.14163633
59237,0.037736386
59238,0.004090808
59239,0.11560196
59240,0.007936842
59241,0.038858626
59242,0.03892395
59243,0.94919485
59244,0.022522897
59245,0.91814876
59246,0.00850163
59247,0.06496826
59248,0.00498528
59249,0.10381775
59250,0.091333546
59251,0.108954415
59252,0.07709546
59253,0.043557145
59254,0.013515704
59255,0.005253339
59256,0.00358665
59257,0.9765431
59258,0.0281527
59259,0.981848
59260,0.014572941
59261,0.011944834
59262,0.07299247
59263,0.0032517773
59264,0.06529295
59265,0.16088401
59266,0.16754666
59267,0.122796744
59268,0.05298492
59269,0.005720613
59270,0.9895557
59271,0.008682201
59272,0.92274046
59273,0.030182274
59274,0.08335233
59275,0.021383319
59276,0.024146065
59277,0.016463242
59278,0.04258127
59279,0.013489382
59280,0.012928234
59281,0.034777425
59282,0.022310305
59283,0.03779265
59284,0.0101444265
59285,0.043161135
