id,rainfall
2190,0.96593416
2191,0.9811965
2192,0.8424752
2193,0.030819813
2194,0.0109274695
2195,0.714516
2196,0.84310454
2197,0.972877
2198,0.9273696
2199,0.5791709
2200,0.97620165
2201,0.02302454
2202,0.97368026
2203,0.96254176
2204,0.11900356
2205,0.0018671012
2206,0.60651976
2207,0.34850472
2208,0.0255539
2209,0.0016309245
2210,0.037037235
2211,0.030037714
2212,0.51894134
2213,0.96650344
2214,0.69445604
2215,0.19495359
2216,0.002563224
2217,0.9651694
2218,0.8261647
2219,0.24798927
2220,0.81335914
2221,0.88191134
2222,0.6430646
2223,0.926282
2224,0.6108312
2225,0.87946355
2226,0.07010477
2227,0.8817975
2228,0.6181254
2229,0.7315456
2230,0.6138493
2231,0.6967319
2232,0.03320297
2233,0.8235995
2234,0.7891759
2235,0.06885773
2236,0.057130776
2237,0.93953454
2238,0.09465141
2239,0.5374348
2240,0.94712
2241,0.9741881
2242,0.9780677
2243,0.96797377
2244,0.9692489
2245,0.95613617
2246,0.961297
2247,0.8401307
2248,0.79715365
2249,0.90700805
2250,0.74866134
2251,0.9371288
2252,0.85544264
2253,0.6130942
2254,0.205994
2255,0.08309618
2256,0.029826403
2257,0.57729065
2258,0.75812197
2259,0.009113998
2260,0.9781456
2261,0.72984064
2262,0.7620004
2263,0.85404366
2264,0.8899949
2265,0.7651977
2266,0.767138
2267,0.928675
2268,0.1857307
2269,0.95069665
2270,0.7129091
2271,0.93602294
2272,0.07211603
2273,0.77563477
2274,0.8716616
2275,0.8723092
2276,0.8389775
2277,0.6997866
2278,0.88820446
2279,0.7936051
2280,0.7914345
2281,0.81258595
2282,0.802085
2283,0.7472886
2284,0.87190676
2285,0.8065295
2286,0.9606991
2287,0.7841394
2288,0.75463486
2289,0.47146553
2290,0.8658155
2291,0.63639486
2292,0.55840516
2293,0.95750517
2294,0.8530652
2295,0.7558203
2296,0.86764663
2297,0.81213474
2298,0.9154621
2299,0.6321459
2300,0.8305754
2301,0.4255748
2302,0.7102147
2303,0.95286655
2304,0.8931673
2305,0.6688485
2306,0.7887226
2307,0.72705567
2308,0.7211566
2309,0.7466315
2310,0.2810681
2311,0.70490754
2312,0.53508604
2313,0.1764486
2314,0.84932315
2315,0.2844685
2316,0.9583869
2317,0.89154625
2318,0.8939368
2319,0.7623948
2320,0.76030856
2321,0.83900434
2322,0.51256573
2323,0.77350545
2324,0.935882
2325,0.7239417
2326,0.8721605
2327,0.9191764
2328,0.87353516
2329,0.95229053
2330,0.95982033
2331,0.4266362
2332,0.04458748
2333,0.84389615
2334,0.8980183
2335,0.909191
2336,0.92890584
2337,0.093073115
2338,0.8526505
2339,0.39979854
2340,0.94144624
2341,0.63929754
2342,0.89744645
2343,0.17093202
2344,0.7654113
2345,0.74498004
2346,0.8159014
2347,0.7571248
2348,0.75361407
2349,0.6111231
2350,0.63031423
2351,0.7841526
2352,0.10318363
2353,0.13749105
2354,0.095242225
2355,0.21892618
2356,0.7295919
2357,0.78004783
2358,0.75996244
2359,0.11301407
2360,0.8324828
2361,0.3127558
2362,0.80883926
2363,0.24343456
2364,0.61640567
2365,0.9534698
2366,0.8851185
2367,0.9300509
2368,0.91453016
2369,0.572302
2370,0.7531878
2371,0.70199233
2372,0.09390381
2373,0.85784525
2374,0.32758293
2375,0.26513237
2376,0.116769075
2377,0.60628355
2378,0.90146
2379,0.59734154
2380,0.6235329
2381,0.60408473
2382,0.38767594
2383,0.05514809
2384,0.27033538
2385,0.20698287
2386,0.10365768
2387,0.35708374
2388,0.606806
2389,0.11556506
2390,0.14583285
2391,0.6278841
2392,0.16344403
2393,0.6809356
2394,0.8395211
2395,0.13396114
2396,0.84940696
2397,0.744377
2398,0.40130976
2399,0.26803032
2400,0.49188498
2401,0.33326444
2402,0.7506908
2403,0.6095139
2404,0.9271814
2405,0.8561115
2406,0.87438613
2407,0.67328626
2408,0.027028218
2409,0.85763276
2410,0.2947628
2411,0.8381117
2412,0.83177716
2413,0.68783045
2414,0.7666317
2415,0.23407127
2416,0.73260176
2417,0.76776797
2418,0.70805585
2419,0.3527783
2420,0.1672455
2421,0.24246702
2422,0.8259297
2423,0.9444107
2424,0.9078727
2425,0.03499219
2426,0.12200831
2427,0.13374534
2428,0.8257752
2429,0.22073838
2430,0.5420802
2431,0.80933154
2432,0.7193696
2433,0.15199257
2434,0.87147295
2435,0.5618842
2436,0.7415679
2437,0.22884934
2438,0.7695249
2439,0.7677067
2440,0.3097449
2441,0.6454653
2442,0.39983985
2443,0.2997669
2444,0.9371908
2445,0.7630544
2446,0.8345709
2447,0.805915
2448,0.8852945
2449,0.10749169
2450,0.8027427
2451,0.9055069
2452,0.9072241
2453,0.8998909
2454,0.7893535
2455,0.28964242
2456,0.11159244
2457,0.62393874
2458,0.8502257
2459,0.33931455
2460,0.113960594
2461,0.9159918
2462,0.23261957
2463,0.26960355
2464,0.6791367
2465,0.87976366
2466,0.33362764
2467,0.09417266
2468,0.025639705
2469,0.4489665
2470,0.08178086
2471,0.05659226
2472,0.71529007
2473,0.14910232
2474,0.05549043
2475,0.11563428
2476,0.52950233
2477,0.61976504
2478,0.69011265
2479,0.30386135
2480,0.60572505
2481,0.74835503
2482,0.47573906
2483,0.64241326
2484,0.6699027
2485,0.7395737
2486,0.6644922
2487,0.70642465
2488,0.7164421
2489,0.6645408
2490,0.6834661
2491,0.058459077
2492,0.73163444
2493,0.59859264
